id,AspectTerms,OpinionTerms,Categories,Polarities
330,_,推荐推荐推荐,整体,正面
358,保湿效果,非常好,功效,正面
343,泡沫,很多,使用体验,正面
343,_,洗完脸也不干,使用体验,正面
343,_,挺滋润的,使用体验,正面
343,_,买一送一也超级划算,价格,正面
327,_,很喜欢,整体,正面
327,_,质量特别好,整体,正面
327,_,特别喜欢,整体,正面
355,持久情况,持久性可以,功效,正面
355,_,涂厚有点黏黏,使用体验,负面
364,_,不错,整体,正面
300,_,很,整体,正面
300,_,当天买当天就能送到,物流,正面
300,_,价格小贵一些,价格,负面
300,_,推荐够买,整体,正面
366,快递,很给力,物流,正面
367,_,还可以,整体,正面
365,补水效果,非常好,功效,正面
365,_,值得购买,整体,正面
369,_,挺好用的,整体,正面
353,_,很不错,整体,正面
353,_,保护皮肤,功效,正面
371,_,挺好用的,整体,正面
361,_,可以,整体,正面
361,_,不错,整体,正面
361,_,很清爽,使用体验,正面
361,_,不油腻,使用体验,正面
361,_,值得拥有,整体,正面
362,_,淡淡的,气味,正面
362,_,不辣眼睛,使用体验,正面
362,_,挺好用的,整体,正面
338,_,给力,整体,正面
338,_,价钱一样,价格,中性
338,速度,要快,物流,正面
338,_,第一次用这个，先试试用用,使用体验,中性
342,_,很适合小女生使用,整体,正面
342,_,非常滋润,使用体验,正面
342,_,一点不干,使用体验,正面
342,_,不油腻,使用体验,正面
342,_,很自然,使用体验,正面
342,_,还送了两个替换装,服务,正面
349,_,还可以,整体,中性
349,_,用着还不错,整体,正面
374,快递,好快,物流,正面
375,_,非常好,整体,正面
375,_,喜欢的商品,整体,正面
375,_,好商品,整体,正面
357,_,还不错,整体,正面
357,眼霜,挺好用的,使用体验,正面
357,乳液,挺好用的,使用体验,正面
357,_,价格也实惠,价格,正面
380,提亮效果,还不错,功效,正面
380,_,谢谢,服务,正面
382,_,不错,整体,正面
381,_,还好吧,整体,正面
381,日期,新鲜的,新鲜度,正面
383,_,很好用,整体,正面
383,_,赞,整体,正面
368,_,挺好的,整体,正面
368,_,超多,其他,正面
368,_,希望有好的效果,整体,中性
370,_,不错,整体,正面
370,_,货真价实,真伪,正面
360,_,很薄,使用体验,正面
360,_,很水润,使用体验,正面
360,_,不过敏,使用体验,正面
360,_,信赖,整体,正面
360,_,方便快捷,使用体验,正面
387,_,可以的,整体,正面
387,_,很好用,整体,正面
376,_,有保证,整体,正面
376,到货速度,快,物流,正面
388,控油效果,没话说，比**的好用多了,功效,正面
391,_,太好用了,使用体验,正面
372,物流,快,物流,正面
372,颜色,好,其他,正面
372,物超所值,物超所值,价格,正面
372,_,非常值得购买,整体,正面
372,赠品,与正品一样,价格,正面
363,_,没有我用的好用,整体,负面
389,_,质量好,整体,正面
389,_,很喜欢,整体,正面
356,味道,很好闻,气味,正面
356,干皮,也还好,使用体验,中性
379,很保湿,很保湿,功效,正面
379,干性皮肤用很棒,很棒,功效,正面
377,_,很好,整体,正面
377,_,挺薄的,使用体验,正面
377,精华,挺多的,成分,正面
377,_,很舒服,使用体验,正面
395,_,很好用,整体,正面
395,_,很喜欢,整体,正面
373,包装,很好,包装,正面
373,物流,很快,物流,正面
373,面膜,不错,整体,正面
373,铝盒,送了,其他,正面
373,物美价廉,物美价廉,价格,正面
397,补水功能,强大,功效,正面
396,_,好干净,使用体验,正面
396,_,不紧绷,使用体验,正面
385,_,超喜欢,整体,正面
385,_,味道香香的,气味,正面
385,快递,很给力,物流,正面
384,_,还行,整体,中性
384,_,比较自然,使用体验,正面
402,_,挺好的,整体,正面
402,_,好用,使用体验,正面
392,_,还好,整体,中性
400,快递,很给力,物流,正面
400,包装,很好,包装,正面
400,_,还可以,整体,正面
401,_,很好用,整体,正面
401,_,很喜欢,整体,正面
401,_,下次还会再来,整体,正面
403,_,非常舒服,使用体验,正面
403,_,不会特别拔干,使用体验,正面
390,_,超级润,使用体验,正面
390,_,喜欢天然的,成分,正面
390,_,反馈不错,整体,正面
386,_,还挺滋润的,使用体验,正面
386,_,很服帖,使用体验,正面
386,_,很滋润,使用体验,正面
386,_,下次会考虑用这个品牌的面膜,整体,正面
398,保湿效果,不错,功效,正面
407,_,好评,整体,正面
409,_,应该不错,整体,正面
348,一股子酒精味,一股子,气味,负面
378,价格,价格实惠,价格,正面
378,_,已经第二次买了,整体,正面
378,_,大众口味,其他,正面
378,_,可以使用,使用体验,正面
378,_,还送了卸妆水,服务,正面
359,气垫,不错,整体,正面
359,替换装,送了,服务,中性
359,替换装,不是都送了两个,服务,负面
359,替换装,为啥我的只有一个,服务,负面
408,补水效果,相当不错,功效,正面
408,精华液,特别多,成分,正面
408,_,喜欢,整体,正面
413,价格,很实惠,价格,正面
413,_,还可以,整体,正面
410,_,物美价廉,价格,正面
410,_,每天都可以用,使用体验,正面
416,_,非常好用,整体,正面
416,_,连续买了好几次,整体,正面
416,_,继续支持,整体,正面
417,_,挺好的,整体,正面
417,_,感觉还挺好用的,整体,正面
417,价格,实惠,价格,正面
405,_,超级好用,整体,正面
405,活动,很划算,价格,正面
414,_,很划算,价格,正面
414,_,非常实用,使用体验,正面
414,_,推荐,整体,正面
415,_,正品,真伪,正面
415,_,非常喜欢,整体,正面
415,_,我用过了才评的,整体,正面
420,_,很小罐,尺寸,负面
406,盖子,盖不上,使用体验,负面
394,_,很自然,使用体验,正面
394,_,质地保湿滋润,使用体验,正面
394,_,值得回购,整体,正面
394,_,推荐,整体,正面
394,香味,淡淡香味,气味,正面
412,_,不错,整体,正面
412,物流,很快,物流,正面
419,_,很不错,整体,正面
419,_,用起来也方便,使用体验,正面
421,_,补水效果很好,功效,正面
421,_,很喜欢,整体,正面
399,快递,不知道什么,物流,负面
399,物流,光物流走了20多天,物流,负面
399,_,我真的是醉了,整体,负面
399,_,才不会买,整体,负面
422,活动,_,价格,正面
422,_,非常不错,整体,正面
428,酒精味,浓,气味,负面
404,_,好很好非常好,整体,正面
404,_,我会继续使用,使用体验,正面
404,_,如果效果真的非常非常好,使用体验,正面
404,_,下次会推荐朋友来继续购买或者买给家人使用,整体,正面
424,_,蛮好的,整体,正面
424,精华,挺多的,使用体验,正面
424,_,下次用完了还会买的,整体,正面
432,_,挺不错的,整体,正面
423,_,非常适合我,整体,正面
423,_,没有用过BB了,整体,正面
423,_,均衡肤色,功效,正面
411,_,满满的一盒,包装,正面
411,_,感觉不错,整体,正面
411,_,非常清爽不油腻,使用体验,正面
411,_,下次再买,整体,正面
435,_,很好用,整体,正面
435,_,以后还会买,整体,正面
426,物流,物流速度不错,物流,正面
426,_,很喜欢,整体,正面
431,_,比较清爽,使用体验,正面
431,_,不油腻,使用体验,正面
431,物流,快,物流,正面
431,_,第二天就到了,物流,正面
425,_,效果挺好,整体,正面
425,味道,好闻,气味,正面
425,_,长期用来感觉不错,整体,正面
429,_,信赖,整体,正面
429,快递小哥服务,不错,服务,正面
437,_,挺不错的,整体,正面
443,_,很好用,整体,正面
443,_,皮肤改善了不少,使用体验,正面
442,_,很好用,整体,正面
442,_,洗的很干净,使用体验,正面
442,_,不紧绷,使用体验,正面
440,_,很好,整体,正面
440,_,很香,气味,正面
440,_,很喜欢,整体,正面
440,_,很棒,整体,正面
433,物流,超级给力非常快,物流,正面
433,_,非常不错,整体,正面
438,_,很不错,整体,正面
438,_,好用,使用体验,正面
447,_,非常好用,整体,正面
447,精华,很多,成分,正面
447,_,感觉超棒,使用体验,正面
434,_,还不错,整体,正面
446,_,很喜欢用,整体,正面
446,_,买了好几次,整体,正面
445,_,非常好用,整体,正面
445,_,用后皮肤看着细腻白皙,功效,正面
445,_,味道特别好闻,气味,正面
439,_,不油腻,使用体验,正面
439,_,好评,整体,正面
439,_,贵,价格,负面
450,_,喜欢,整体,正面
450,_,五分好评,整体,正面
436,_,很好用,整体,正面
452,_,不错,整体,正面
452,_,很好用,整体,正面
444,_,超级大赞,整体,正面
444,_,这次买的超级划算,价格,正面
444,_,期待下次大幅度优惠,价格,正面
418,_,正品,真伪,正面
418,_,很不错,整体,正面
418,_,可以用很久了,整体,正面
461,_,不错,整体,正面
461,_,很好,整体,正面
448,_,看上去挺好的,整体,正面
448,_,买一送一个,价格,正面
448,物流,物流也很快,物流,正面
463,_,不错,整体,正面
454,物流,很快,物流,正面
454,_,还行,整体,中性
454,_,显白,功效,正面
454,_,有点干,使用体验,负面
458,_,效果好,功效,正面
458,_,温和不刺激,使用体验,正面
458,_,易卸,使用体验,正面
449,_,还可以,整体,中性
449,_,挺好的,整体,正面
456,_,很好,整体,正面
456,速度,快,物流,正面
456,_,再回购,整体,正面
456,_,现囤货,整体,正面
441,_,还可以,整体,正面
441,精华,挺充足的,成分,正面
441,_,这个价位可以接受,价格,正面
453,保质期,稍短了些,新鲜度,负面
462,_,很喜欢,整体,正面
462,_,多次购买,整体,正面
469,_,柔和多泡,使用体验,正面
469,_,保湿不干,使用体验,正面
469,_,很喜欢,整体,正面
464,_,不像正品,真伪,负面
464,液体,太稀,使用体验,负面
455,_,满心欢喜,整体,正面
455,大品牌,大品牌支持,整体,正面
471,快递,杠杠滴,物流,正面
470,_,挺好用的,整体,正面
470,_,下次还买,整体,正面
459,_,挺好的,整体,正面
459,物流,挺快的,物流,正面
466,_,脸刺痛,使用体验,负面
466,_,过敏,使用体验,负面
466,_,非常不愉快,整体,负面
466,_,化学物质太多,成分,负面
467,_,还不错,整体,正面
467,香味,淡淡的,气味,正面
467,小样,_,价格,正面
467,配送人员服务态度,好,服务,正面
451,_,还可以吧,整体,正面
451,_,觉得挺补水的,功效,正面
472,_,正品,真伪,正面
472,_,特好用,整体,正面
468,_,特别好用,整体,正面
468,_,很喜欢,整体,正面
468,老牌子,值得信赖,其他,正面
468,_,会继续购买,整体,正面
474,_,还不错,整体,正面
474,_,可以一试,整体,正面
460,_,挺好用,整体,正面
460,赠品,有赠品,价格,正面
475,_,还不错,整体,正面
475,_,很补水,功效,正面
479,赠品,有赠品,其他,正面
476,_,很划算,价格,正面
476,_,那就看卸妆的效果了,使用体验,中性
481,速度,很快,物流,正面
481,_,不错,整体,正面
487,_,挺好,整体,正面
457,快递速度,很快,物流,正面
457,_,看着不错,整体,正面
480,_,润润的,使用体验,正面
480,_,易吸收,使用体验,正面
480,香味,很舒服,气味,正面
482,上妆效果,干,使用体验,负面
482,_,差,整体,负面
485,_,挺好用的,整体,正面
485,吸收,挺快的,使用体验,正面
465,配送,蛮快,物流,正面
489,_,很好用,整体,正面
489,活动,很划算,价格,正面
477,_,太油了,使用体验,负面
477,_,不会再上脸,整体,负面
490,_,不错,整体,正面
490,_,超值,价格,正面
494,_,便宜,价格,正面
484,_,真心不错，值得购买,整体,正面
473,敏感肌,不推荐,使用体验,负面
473,我混合型,会刺痛,使用体验,负面
495,_,还好,整体,正面
492,包装,破烂,包装,负面
492,_,买一送一,价格,中性
491,_,特别好,整体,正面
491,_,值得购买,整体,正面
491,_,非常喜欢,整体,正面
491,_,下次还会买,整体,正面
